vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
2;3.75;1115.26;26.35;1114.48;25.92;1101.93;3.31;1102.71;10;0.59;stop
3;2380.43;1132.74;2380.89;1119.5;2348.69;1118.39;2348.23;1131.63;10;0.78;move
5;1871.15;1232.79;1875.79;1220.93;1852.6;1211.84;1847.96;1223.7;10;0.78;stop
6;2525.6;1137.06;2526.0;1122.86;2493.78;1121.94;2493.37;1136.14;10;0.82;move
7;3392.58;1147.08;3395.63;1134.54;3365.85;1127.3;3362.81;1139.84;10;0.83;stop
8;2602.45;1140.54;2603.52;1126.59;2571.05;1124.09;2569.98;1138.04;10;0.83;move
9;2357.04;1152.1;2357.47;1140.44;2332.71;1139.52;2332.28;1151.19;10;0.81;move
10;1481.43;1162.42;1506.64;1162.29;1506.57;1149.45;1481.36;1149.59;10;0.78;stop
11;2706.59;1129.26;2707.65;1117.57;2680.66;1115.12;2679.6;1126.81;10;0.82;stop
12;1818.17;2116.77;1830.06;2092.84;1819.0;2087.35;1807.11;2111.28;10;0.83;stop
13;1917.52;672.23;1931.99;671.31;1929.98;639.52;1915.51;640.44;10;0.81;move
14;1936.34;1030.52;1950.29;1027.8;1944.91;1000.11;1930.96;1002.82;10;0.75;move
15;1848.37;983.07;1862.67;982.8;1862.07;950.81;1847.77;951.08;10;0.8;stop
16;378.38;1083.59;378.59;1071.25;352.41;1070.79;352.19;1083.13;10;0.82;stop
18;2551.15;1155.66;2551.8;1141.8;2523.35;1140.47;2522.7;1154.32;10;0.79;move
19;3360.07;1179.83;3363.89;1166.64;3331.8;1157.36;3327.99;1170.55;10;0.81;stop
20;1914.16;1858.95;1919.72;1829.06;1906.25;1826.55;1900.68;1856.44;10;0.83;stop
22;539.14;1090.45;539.72;1080.24;516.48;1078.92;515.9;1089.13;10;0.79;stop
23;1047.57;1210.5;1047.96;1197.85;1020.55;1197.0;1020.16;1209.65;10;0.81;stop
24;1278.57;1098.29;1308.95;1098.25;1308.93;1084.21;1278.55;1084.25;10;0.81;stop
25;128.09;1114.83;128.2;1100.7;100.07;1100.48;99.97;1114.61;10;0.78;move
26;2923.6;1157.76;2925.93;1146.3;2897.9;1140.61;2895.57;1152.08;10;0.83;stop
27;1950.92;1986.45;1959.65;1956.08;1946.08;1952.17;1937.35;1982.55;10;0.83;stop
28;2990.34;1296.56;2993.08;1282.36;2961.66;1276.31;2958.92;1290.52;10;0.82;stop
29;1040.71;1097.27;1041.55;1085.83;1018.04;1084.1;1017.2;1095.54;10;0.81;stop
30;1850.62;2103.99;1863.56;2074.26;1850.63;2068.63;1837.69;2098.37;10;0.82;stop
31;1225.78;1216.12;1225.8;1202.67;1197.47;1202.63;1197.45;1216.08;10;0.82;stop
33;2261.65;1130.8;2262.05;1116.67;2232.35;1115.83;2231.95;1129.95;10;0.82;move
37;1864.02;766.98;1878.63;765.58;1875.48;732.65;1860.87;734.04;10;0.82;stop
38;873.66;1090.25;873.78;1077.9;846.47;1077.62;846.34;1089.98;10;0.82;stop
39;1434.57;1098.11;1434.69;1085.8;1406.06;1085.52;1405.93;1097.82;10;0.81;stop
43;1973.95;1779.1;1976.66;1753.67;1963.55;1752.27;1960.84;1777.71;10;0.83;stop
45;609.01;1195.6;609.78;1183.58;583.49;1181.9;582.72;1193.92;10;0.82;stop
46;1561.2;1099.05;1561.72;1086.86;1534.8;1085.7;1534.28;1097.89;10;0.82;stop
47;3224.15;1049.85;3253.76;1039.39;3249.29;1026.72;3219.67;1037.17;10;0.82;stop
48;2952.25;1288.24;2954.58;1274.81;2922.59;1269.26;2920.27;1282.69;10;0.82;stop
50;1337.01;1219.45;1337.45;1202.74;1293.24;1201.55;1292.8;1218.26;9;0.81;stop
51;1968.14;910.06;1981.55;908.64;1978.54;880.37;1965.14;881.8;10;0.82;stop
52;839.94;1120.49;870.12;1120.36;870.06;1107.01;839.88;1107.14;10;0.79;move
53;1391.32;1132.33;1391.47;1120.27;1364.93;1119.92;1364.78;1131.98;10;0.78;move
54;1394.99;1161.74;1395.32;1147.49;1363.51;1146.76;1363.18;1161.01;10;0.82;stop
55;912.18;1090.6;939.08;1090.44;939.01;1078.4;912.11;1078.56;10;0.81;stop
56;2856.41;1145.57;2857.57;1132.82;2830.09;1130.31;2828.93;1143.05;10;0.8;stop
57;1196.76;1131.67;1197.16;1115.81;1163.49;1114.96;1163.09;1130.82;10;0.77;move
58;1964.37;1863.63;1968.8;1834.04;1955.13;1831.99;1950.7;1861.58;10;0.83;stop
59;3032.02;1303.82;3034.16;1289.77;3000.33;1284.62;2998.19;1298.67;10;0.82;stop
60;1670.54;1164.15;1670.93;1152.01;1642.59;1151.1;1642.2;1163.24;10;0.81;stop
62;1996.38;1339.8;1997.67;1307.88;1984.06;1307.33;1982.76;1339.24;10;0.81;stop
63;1912.23;1702.08;1937.8;1687.51;1930.77;1675.17;1905.2;1689.74;10;0.82;stop
64;1343.87;1702.06;1344.61;1689.11;1317.88;1687.57;1317.14;1700.52;10;0.82;stop
66;1724.25;1185.95;1724.64;1171.8;1692.81;1170.92;1692.41;1185.07;10;0.79;stop
67;1868.88;923.81;1881.53;923.0;1879.81;895.88;1867.16;896.68;10;0.81;stop
68;176.83;1113.88;204.11;1113.72;204.03;1100.49;176.75;1100.66;10;0.72;move
70;789.89;2012.15;790.0;1984.46;776.67;1984.41;776.56;2012.1;10;0.82;stop
71;1842.97;1724.02;1843.63;1709.75;1813.28;1708.35;1812.62;1722.63;10;0.82;stop
73;1169.87;1094.35;1170.34;1083.5;1147.63;1082.52;1147.16;1093.38;10;0.8;stop
74;1888.09;2022.57;1899.29;1995.17;1887.41;1990.31;1876.21;2017.71;10;0.82;stop
75;1705.29;1102.71;1705.41;1090.17;1677.58;1089.91;1677.47;1102.46;10;0.8;stop
76;1426.41;1219.24;1426.79;1205.9;1400.72;1205.14;1400.33;1218.48;10;0.78;stop
77;1961.98;1335.08;1975.71;1335.0;1975.52;1305.29;1961.79;1305.38;10;0.82;stop
78;1917.35;329.22;1928.36;329.0;1927.9;306.4;1916.89;306.62;10;0.8;move
79;3104.66;1262.01;3107.68;1248.89;3073.93;1241.12;3070.91;1254.24;10;0.66;move
80;2864.96;1380.03;2869.82;1366.76;2837.29;1354.84;2832.43;1368.11;10;0.81;stop
81;1842.34;867.46;1856.37;866.88;1855.16;838.04;1841.13;838.62;10;0.82;stop
82;1836.3;884.7;1836.48;855.76;1822.38;855.68;1822.21;884.61;10;0.83;stop
83;975.13;1091.64;975.37;1080.2;946.65;1079.61;946.41;1091.05;10;0.81;stop
84;1991.38;1296.89;1991.84;1270.57;1979.87;1270.36;1979.41;1296.68;10;0.8;stop
85;1904.67;469.06;1919.32;468.69;1918.55;438.81;1903.9;439.19;10;0.82;move
86;2293.83;1234.56;2294.37;1221.32;2266.55;1220.19;2266.01;1233.43;10;0.81;stop
87;1749.72;1685.01;1750.61;1672.72;1724.82;1670.86;1723.93;1683.15;10;0.8;stop
88;3467.97;1380.16;3471.66;1366.47;3439.53;1357.81;3435.84;1371.5;10;0.8;stop
89;3672.17;1434.03;3675.62;1422.19;3647.83;1414.09;3644.38;1425.93;10;0.81;stop
90;1554.01;1162.79;1554.24;1149.6;1525.12;1149.09;1524.89;1162.27;10;0.8;stop
91;898.36;1202.24;898.89;1190.56;871.64;1189.33;871.11;1201.0;10;0.78;stop
93;1868.42;2064.31;1878.95;2038.68;1867.7;2034.07;1857.18;2059.69;10;0.81;stop
94;1468.66;1218.57;1494.68;1218.39;1494.59;1205.8;1468.57;1205.98;10;0.78;stop
95;1961.52;1298.03;1973.9;1297.96;1973.73;1270.34;1961.35;1270.42;10;0.81;stop
96;530.25;1118.16;530.42;1105.02;502.88;1104.66;502.71;1117.8;10;0.78;move
97;2200.32;1145.72;2200.76;1133.42;2172.18;1132.41;2171.74;1144.71;10;0.8;stop
98;2500.47;1237.92;2501.24;1225.33;2472.78;1223.58;2472.01;1236.17;10;0.81;stop
99;2748.9;1134.56;2750.44;1121.04;2717.78;1117.32;2716.24;1130.84;10;0.81;stop
100;2967.85;1184.54;2970.44;1170.76;2936.9;1164.46;2934.31;1178.24;10;0.84;stop
101;1981.1;1714.38;1981.86;1681.2;1967.84;1680.87;1967.08;1714.05;10;0.82;stop
102;1953.11;864.22;1966.74;864.08;1966.39;830.03;1952.76;830.17;10;0.81;stop
103;1933.25;148.06;1944.54;147.53;1943.41;123.63;1932.12;124.16;10;0.81;stop
104;841.03;1089.69;841.16;1078.46;815.11;1078.18;814.99;1089.41;10;0.8;stop
