vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state;parking_zone;timestamp_in;timestamp_out
1;3432.28;1186.61;3434.18;1170.83;3398.34;1166.52;3396.45;1182.3;10;0.8;move;-1;;
3;3145.74;1198.19;3147.79;1182.28;3110.19;1177.44;3108.14;1193.35;10;0.82;stop;11;1;7518
7;854.96;1172.66;855.26;1158.6;825.97;1157.97;825.67;1172.03;10;0.83;stop;-1;;
10;2951.77;1037.12;2953.1;1021.62;2920.26;1018.82;2918.93;1034.32;10;0.83;stop;6;1;7518
15;2653.69;1151.58;2680.72;1151.52;2680.69;1137.79;2653.65;1137.85;10;0.81;stop;11;1;7518
19;1977.15;669.01;1991.76;668.0;1989.79;639.37;1975.17;640.37;10;0.82;stop;9;1;7518
21;2824.57;1156.07;2825.16;1141.44;2791.06;1140.05;2790.46;1154.68;10;0.81;stop;11;1;7518
22;1960.54;680.21;1974.52;679.4;1972.65;647.29;1958.67;648.1;10;0.8;stop;9;1;7518
23;1075.2;640.38;1075.68;626.29;1044.86;625.25;1044.39;639.34;10;0.81;stop;-1;;
26;1958.08;640.53;1973.89;639.15;1970.89;604.84;1955.08;606.23;10;0.81;stop;9;1;7518
27;2726.92;1154.0;2727.38;1137.29;2692.06;1136.31;2691.6;1153.02;10;0.81;stop;11;1;7518
32;3499.47;1067.09;3503.8;1052.06;3469.91;1042.28;3465.57;1057.32;10;0.81;stop;6;1;7518
36;992.57;635.69;993.46;622.34;966.8;620.55;965.91;633.91;10;0.81;stop;-1;;
37;3428.77;930.49;3446.57;903.2;3433.73;894.82;3415.93;922.11;10;0.82;stop;6;1;7518
40;1993.19;896.68;2007.57;896.64;2007.5;865.64;1993.12;865.67;10;0.81;stop;9;1;7518
44;3500.4;1048.1;3505.85;1032.65;3472.72;1020.97;3467.28;1036.41;10;0.8;stop;6;1;5352
46;1784.33;1660.04;1784.52;1645.58;1756.04;1645.21;1755.86;1659.67;10;0.8;stop;14;1;7518
49;1145.19;1055.04;1145.38;1040.12;1113.81;1039.71;1113.62;1054.63;10;0.81;stop;10;1;7518
53;2833.13;1028.1;2834.2;1012.83;2799.37;1010.4;2798.3;1025.67;10;0.79;stop;6;1;7518
56;3356.16;1360.96;3361.44;1347.17;3332.91;1336.23;3327.62;1350.02;10;0.79;stop;11;1;7518
