vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
57;1790.33;234.3;1804.95;233.24;1802.92;205.02;1788.3;206.07;10;0.79;parked
142;1824.87;685.01;1838.54;683.55;1835.22;652.61;1821.55;654.08;10;0.79;parked
203;1828.2;824.38;1845.84;821.96;1839.3;774.25;1821.66;776.66;9;0.77;parked
212;1771.91;190.23;1786.2;188.6;1783.09;161.33;1768.8;162.97;10;0.77;parked
220;1768.44;146.03;1782.0;145.06;1780.0;117.22;1766.44;118.19;10;0.76;parked
222;1812.09;711.69;1827.39;709.49;1822.97;678.81;1807.68;681.01;10;0.79;parked
233;1790.03;469.15;1805.7;467.73;1802.56;433.1;1786.89;434.52;10;0.74;parked
238;1777.85;93.41;1791.02;92.76;1789.57;63.53;1776.4;64.18;10;0.76;parked
293;1807.8;677.75;1822.18;676.37;1819.39;647.5;1805.01;648.88;10;0.76;parked
301;1786.62;224.24;1787.18;195.1;1772.88;194.82;1772.32;223.96;10;0.72;parked
338;1800.33;352.05;1814.51;350.94;1812.04;319.57;1797.86;320.69;10;0.74;parked
350;1777.14;266.97;1792.2;265.53;1789.16;233.65;1774.09;235.09;10;0.77;parked
438;1794.0;267.87;1808.86;266.36;1805.91;237.26;1791.04;238.77;10;0.72;parked
442;1811.38;556.71;1825.9;556.65;1825.79;528.91;1811.27;528.97;10;0.69;parked
592;1824.85;887.19;1840.83;885.74;1837.78;852.06;1821.8;853.51;10;0.44;parked
5451;1784.93;114.8;1785.04;95.65;1772.79;95.57;1772.67;114.73;10;0.58;parked
10722;1779.56;60.22;1795.58;58.6;1792.32;26.4;1776.29;28.03;10;0.76;parked
11930;1764.08;61.69;1776.71;60.45;1774.04;33.37;1761.41;34.61;10;0.54;parked
12052;1761.97;95.31;1773.79;94.91;1772.83;66.69;1761.01;67.09;10;0.42;parked
12359;1825.17;887.26;1840.81;885.85;1837.74;851.99;1822.1;853.4;9;0.42;parked
