vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state;parking_zone;timestamp_in;timestamp_out
1;2028.88;1239.71;2029.14;1208.42;2014.37;1208.29;2014.11;1239.58;10;0.79;move;-1;;
3;3145.62;1197.92;3147.26;1182.6;3110.32;1178.64;3108.68;1193.97;10;0.82;stop;11;1;7518
7;855.39;1172.49;855.77;1158.0;825.55;1157.19;825.16;1171.68;10;0.83;stop;-1;;
8;1999.29;1284.19;2014.09;1284.05;2013.78;1251.56;1998.98;1251.7;10;0.79;move;-1;;
10;2951.18;1038.0;2952.49;1022.57;2919.91;1019.81;2918.6;1035.24;10;0.82;stop;6;1;7518
11;1845.87;1053.3;1873.87;1051.03;1872.72;1036.95;1844.73;1039.22;10;0.76;move;-1;;
13;2022.32;1054.46;2052.86;1052.8;2052.06;1038.04;2021.51;1039.7;10;0.77;move;-1;;
14;1922.1;1052.49;1952.71;1051.81;1952.4;1037.76;1921.79;1038.44;10;0.78;move;-1;;
15;2681.35;1153.02;2681.46;1138.83;2651.9;1138.6;2651.79;1152.8;10;0.81;stop;11;1;7518
16;2001.95;1356.59;2017.01;1356.18;2016.17;1325.41;2001.11;1325.82;10;0.8;move;-1;;
18;2283.32;1066.56;2318.35;1064.87;2317.55;1048.44;2282.53;1050.13;10;0.78;move;-1;;
19;1977.03;670.43;1991.63;669.31;1989.35;639.63;1974.75;640.76;10;0.82;stop;9;1;7518
20;1509.55;1084.48;1539.05;1082.55;1538.08;1067.65;1508.57;1069.57;10;0.77;move;-1;;
21;2823.54;1156.29;2823.93;1141.81;2792.09;1140.96;2791.7;1155.44;10;0.81;stop;11;1;7518
22;1960.44;680.04;1974.49;679.14;1972.46;647.46;1958.41;648.36;10;0.8;stop;9;1;7518
23;1074.84;640.3;1075.23;626.17;1044.66;625.33;1044.27;639.45;10;0.81;stop;-1;;
25;2089.59;1069.79;2127.69;1067.92;2126.91;1051.96;2088.81;1053.83;10;0.76;move;-1;;
26;1957.74;640.22;1973.43;638.8;1970.39;605.15;1954.69;606.57;10;0.82;stop;9;1;7518
27;2726.63;1154.26;2726.95;1138.08;2691.0;1137.36;2690.67;1153.55;10;0.8;stop;11;1;7518
28;1794.06;1076.95;1822.6;1075.16;1821.69;1060.55;1793.15;1062.34;10;0.46;move;-1;;
