vehicle_id,parking_zone,timestamp_in,timestamp_out,duration
610,18,1,3060,3060
359,6,1,3063,3063
590,14,1,3069,3069
453,14,1,3085,3085
602,13,1,3095,3095
246,18,1,3242,3242
282,6,1,3253,3253
608,14,1,3309,3309
632,7,1,3331,3331
387,14,1,3350,3350
514,13,1,3713,3713
498,1,1,3740,3740
435,4,1,4083,4083
633,12,1,4125,4125
631,17,1,4275,4275
84,1,1,4288,4288
66,11,1,4669,4669
634,18,1,4770,4770
588,6,1,4841,4841
450,10,1,4900,4900
607,11,1,5011,5011
205,6,1,5018,5018
185,11,1,5030,5030
513,14,1,5102,5102
475,15,1,5151,5151
407,10,1,5188,5188
617,12,1,5232,5232
510,10,1,5272,5272
44,6,1,5352,5352
360,1,1,5613,5613
395,12,1,5709,5709
595,18,1,5762,5762
203,1,1,6071,6071
584,10,1,6420,6420
628,14,1,6586,6586
276,11,1,6732,6732
57,1,1,7132,7132
304,10,1,7191,7191
499,12,1,7243,7243
583,6,1,7517,7517
3,11,1,7518,7518
10,6,1,7518,7518
15,11,1,7518,7518
19,9,1,7518,7518
21,11,1,7518,7518
22,9,1,7518,7518
26,9,1,7518,7518
27,11,1,7518,7518
32,6,1,7518,7518
37,6,1,7518,7518
40,9,1,7518,7518
46,14,1,7518,7518
49,10,1,7518,7518
53,6,1,7518,7518
56,11,1,7518,7518
59,13,1,7518,7518
64,14,1,7518,7518
67,9,1,7518,7518
68,6,1,7518,7518
72,6,1,7518,7518
74,6,1,7518,7518
76,11,1,7518,7518
79,8,1,7518,7518
80,6,1,7518,7518
86,7,1,7518,7518
90,6,1,7518,7518
91,15,1,7518,7518
92,10,1,7518,7518
93,10,1,7518,7518
97,9,1,7518,7518
98,7,1,7518,7518
110,13,1,7518,7518
111,9,1,7518,7518
112,9,1,7518,7518
114,6,1,7518,7518
117,16,1,7518,7518
119,2,1,7518,7518
120,7,1,7518,7518
124,9,1,7518,7518
126,6,1,7518,7518
130,11,1,7518,7518
131,6,1,7518,7518
132,7,1,7518,7518
133,7,1,7518,7518
135,6,1,7518,7518
136,10,1,7518,7518
142,1,1,7518,7518
148,12,1,7518,7518
150,11,1,7518,7518
152,9,1,7518,7518
153,10,1,7518,7518
159,13,1,7518,7518
160,12,1,7518,7518
161,10,1,7518,7518
163,13,1,7518,7518
166,8,1,7518,7518
171,12,1,7518,7518
172,6,1,7518,7518
176,6,1,7518,7518
177,6,1,7518,7518
179,11,1,7518,7518
180,11,1,7518,7518
181,14,1,7518,7518
183,7,1,7518,7518
184,10,1,7518,7518
188,6,1,7518,7518
190,8,1,7518,7518
195,12,1,7518,7518
196,11,1,7518,7518
197,11,1,7518,7518
198,11,1,7518,7518
204,2,1,7518,7518
210,11,1,7518,7518
211,16,1,7518,7518
212,1,1,7518,7518
213,7,1,7518,7518
217,14,1,7518,7518
218,14,1,7518,7518
220,1,1,7518,7518
222,1,1,7518,7518
223,10,1,7518,7518
228,12,1,7518,7518
230,6,1,7518,7518
231,14,1,7518,7518
232,16,1,7518,7518
233,1,1,7518,7518
234,7,1,7518,7518
235,10,1,7518,7518
236,11,1,7518,7518
237,2,1,7518,7518
238,1,1,7518,7518
239,8,1,7518,7518
241,10,1,7518,7518
242,10,1,7518,7518
245,13,1,7518,7518
247,18,1,7518,7518
248,14,1,7518,7518
250,7,1,7518,7518
251,6,1,7518,7518
254,13,1,7518,7518
255,14,1,7518,7518
256,11,1,7518,7518
257,8,1,7518,7518
258,10,1,7518,7518
261,13,1,7518,7518
262,7,1,7518,7518
263,6,1,7518,7518
264,10,1,7518,7518
265,10,1,7518,7518
267,11,1,7518,7518
271,6,1,7518,7518
273,18,1,7518,7518
278,7,1,7518,7518
280,10,1,7518,7518
283,4,1,7518,7518
285,11,1,7518,7518
286,15,1,7518,7518
288,12,1,7518,7518
289,6,1,7518,7518
290,11,1,7518,7518
291,13,1,7518,7518
293,1,1,7518,7518
296,14,1,7518,7518
298,6,1,7518,7518
300,10,1,7518,7518
301,1,1,7518,7518
302,7,1,7518,7518
303,7,1,7518,7518
308,12,1,7518,7518
309,11,1,7518,7518
310,14,1,7518,7518
311,11,1,7518,7518
312,7,1,7518,7518
313,12,1,7518,7518
315,13,1,7518,7518
316,7,1,7518,7518
318,6,1,7518,7518
320,7,1,7518,7518
321,8,1,7518,7518
324,7,1,7518,7518
325,7,1,7518,7518
326,7,1,7518,7518
328,6,1,7518,7518
331,6,1,7518,7518
332,7,1,7518,7518
333,7,1,7518,7518
334,10,1,7518,7518
336,14,1,7518,7518
338,1,1,7518,7518
339,6,1,7518,7518
340,10,1,7518,7518
343,14,1,7518,7518
344,6,1,7518,7518
346,14,1,7518,7518
348,4,1,7518,7518
350,1,1,7518,7518
351,7,1,7518,7518
352,7,1,7518,7518
354,15,1,7518,7518
355,7,1,7518,7518
357,12,1,7518,7518
358,12,1,7518,7518
362,6,1,7518,7518
367,6,1,7518,7518
369,10,1,7518,7518
371,10,1,7518,7518
374,14,1,7518,7518
375,7,1,7518,7518
376,13,1,7518,7518
378,13,1,7518,7518
379,6,1,7518,7518
380,11,1,7518,7518
381,15,1,7518,7518
384,4,1,7518,7518
386,14,1,7518,7518
388,18,1,7518,7518
389,11,1,7518,7518
391,6,1,7518,7518
392,6,1,7518,7518
396,12,1,7518,7518
397,16,1,7518,7518
400,9,1,7518,7518
401,4,1,7518,7518
403,18,1,7518,7518
406,7,1,7518,7518
408,12,1,7518,7518
409,10,1,7518,7518
410,7,1,7518,7518
412,18,1,7518,7518
413,6,1,7518,7518
415,12,1,7518,7518
416,13,1,7518,7518
418,6,1,7518,7518
420,6,1,7518,7518
421,13,1,7518,7518
423,6,1,7518,7518
425,6,1,7518,7518
426,12,1,7518,7518
427,14,1,7518,7518
428,12,1,7518,7518
433,18,1,7518,7518
434,16,1,7518,7518
436,7,1,7518,7518
439,13,1,7518,7518
440,11,1,7518,7518
441,18,1,7518,7518
442,1,1,7518,7518
443,12,1,7518,7518
444,13,1,7518,7518
445,7,1,7518,7518
446,10,1,7518,7518
449,4,1,7518,7518
451,7,1,7518,7518
454,16,1,7518,7518
455,15,1,7518,7518
456,6,1,7518,7518
457,6,1,7518,7518
459,18,1,7518,7518
460,18,1,7518,7518
463,14,1,7518,7518
465,14,1,7518,7518
466,12,1,7518,7518
468,15,1,7518,7518
469,16,1,7518,7518
471,14,1,7518,7518
476,14,1,7518,7518
479,14,1,7518,7518
480,4,1,7518,7518
481,6,1,7518,7518
483,7,1,7518,7518
484,10,1,7518,7518
485,6,1,7518,7518
489,18,1,7518,7518
490,14,1,7518,7518
494,18,1,7518,7518
495,14,1,7518,7518
501,14,1,7518,7518
504,6,1,7518,7518
505,14,1,7518,7518
506,11,1,7518,7518
507,11,1,7518,7518
508,17,1,7518,7518
512,10,1,7518,7518
515,13,1,7518,7518
516,14,1,7518,7518
518,13,1,7518,7518
520,12,1,7518,7518
522,13,1,7518,7518
523,18,1,7518,7518
526,6,1,7518,7518
531,6,1,7518,7518
536,10,1,7518,7518
539,4,1,7518,7518
542,10,1,7518,7518
543,18,1,7518,7518
546,6,1,7518,7518
548,12,1,7518,7518
549,18,1,7518,7518
553,16,1,7518,7518
556,15,1,7518,7518
558,18,1,7518,7518
559,7,1,7518,7518
562,16,1,7518,7518
564,4,1,7518,7518
566,14,1,7518,7518
567,13,1,7518,7518
568,7,1,7518,7518
569,6,1,7518,7518
570,14,1,7518,7518
575,14,1,7518,7518
580,6,1,7518,7518
591,18,1,7518,7518
592,1,1,7518,7518
603,4,1,7518,7518
611,6,1,7518,7518
613,11,1,7518,7518
615,6,1,7518,7518
625,18,1,7518,7518
626,18,1,7518,7518
627,18,1,7518,7518
653,10,5,7518,7514
658,4,6,3743,3738
693,14,13,3062,3050
718,17,21,5141,5121
1465,4,381,7518,7138
1653,11,445,6116,5672
1981,4,602,7518,6917
2017,4,621,7518,6898
2038,4,631,7518,6888
2047,17,632,4291,3660
2067,4,643,6885,6243
2081,4,647,5633,4987
3107,15,1214,6364,5151
4599,18,2003,5946,3944
4625,6,2017,5641,3625
5312,11,2379,7518,5140
5451,1,2439,7518,5080
167,12,2655,7518,4864
5902,14,2656,7518,4863
6339,14,2871,7518,4648
853,9,2920,7518,4599
6518,10,2942,7518,4577
405,6,2952,7518,4567
6648,14,3019,7518,4500
359,6,3065,7518,4454
6864,18,3111,7518,4408
7050,6,3193,7518,4326
6537,6,3198,7518,4321
7610,13,3424,7518,4095
7763,8,3503,7518,4016
8181,13,3717,7081,3365
8305,4,3777,6879,3103
9074,12,4161,7518,3358
