vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
3;3145.89;1198.32;3147.93;1182.04;3110.05;1177.31;3108.01;1193.59;10;0.82;parked
15;2681.37;1152.43;2681.47;1138.27;2653.01;1138.07;2652.91;1152.23;10;0.81;parked
21;2823.54;1155.95;2824.09;1141.42;2790.96;1140.17;2790.41;1154.71;10;0.81;parked
27;2727.42;1154.64;2727.85;1137.53;2691.57;1136.61;2691.13;1153.72;10;0.81;parked
56;3356.7;1360.81;3361.83;1346.9;3333.3;1336.37;3328.17;1350.29;10;0.79;parked
66;3317.06;1346.64;3326.14;1313.71;3310.13;1309.29;3301.04;1342.22;10;0.79;parked
76;2496.56;1153.01;2529.78;1152.55;2529.56;1136.37;2496.34;1136.83;10;0.79;parked
130;2642.39;1150.23;2642.48;1135.96;2610.98;1135.77;2610.89;1150.04;10;0.79;parked
150;2346.81;1154.37;2347.07;1140.06;2317.07;1139.51;2316.81;1153.81;10;0.8;parked
179;3104.11;1192.03;3106.05;1175.62;3070.26;1171.4;3068.33;1187.81;10;0.8;parked
180;3017.86;1179.26;3020.39;1164.03;2989.17;1158.86;2986.65;1174.09;10;0.79;parked
185;2194.73;1157.45;2220.96;1156.59;2220.52;1143.17;2194.29;1144.04;10;0.78;parked
196;2354.61;1154.39;2385.09;1153.42;2384.64;1139.49;2354.16;1140.46;10;0.78;parked
197;2393.45;1153.67;2422.52;1153.26;2422.3;1137.95;2393.23;1138.36;10;0.78;parked
198;2538.35;1150.57;2568.97;1150.15;2568.77;1135.43;2538.15;1135.85;10;0.77;parked
210;2277.86;1156.22;2305.68;1154.98;2305.01;1139.91;2277.19;1141.15;10;0.77;parked
236;2227.79;1157.97;2261.03;1157.0;2260.58;1141.53;2227.34;1142.5;10;0.77;parked
256;2858.14;1158.8;2858.95;1144.35;2830.61;1142.76;2829.8;1157.22;10;0.8;parked
267;2458.63;1152.13;2489.36;1150.86;2488.75;1136.12;2458.01;1137.39;10;0.75;parked
276;2577.64;1149.75;2604.2;1148.87;2603.74;1135.12;2577.18;1136.01;10;0.77;parked
277;2977.94;1172.92;2979.9;1149.59;2920.06;1144.58;2918.1;1167.91;9;0.84;parked
285;2782.79;1157.61;2783.31;1138.41;2745.41;1137.39;2744.9;1156.59;9;0.81;parked
290;2154.17;1159.95;2184.76;1158.48;2184.01;1142.93;2153.43;1144.4;10;0.77;parked
309;3059.36;1184.72;3061.07;1170.15;3030.17;1166.53;3028.46;1181.1;10;0.78;parked
311;3293.48;1362.03;3305.28;1324.77;3287.77;1319.22;3275.97;1356.48;10;0.64;parked
380;3184.59;1203.67;3186.84;1187.71;3154.78;1183.21;3152.54;1199.16;10;0.67;parked
389;2099.7;1160.29;2134.28;1158.12;2133.3;1142.59;2098.72;1144.75;10;0.73;parked
440;3648.91;1269.97;3652.86;1256.65;3624.21;1248.16;3620.26;1261.47;10;0.72;parked
506;3119.19;1194.92;3120.55;1178.63;3109.56;1177.71;3108.2;1194.0;10;0.65;parked
507;3347.17;1262.25;3360.06;1225.72;3341.89;1219.31;3329.01;1255.84;10;0.48;parked
607;2152.96;1158.58;2160.47;1158.49;2160.29;1143.17;2152.78;1143.26;10;0.49;parked
613;3414.68;1287.86;3457.11;1279.23;3453.44;1261.2;3411.01;1269.83;9;0.41;parked
1653;3584.33;1252.13;3587.51;1237.01;3560.36;1231.31;3557.18;1246.43;10;0.47;parked
2082;3840.52;1306.51;3843.79;1291.86;3824.48;1287.55;3821.21;1302.21;10;0.54;parked
2237;3710.63;1280.35;3713.68;1264.74;3682.49;1258.66;3679.44;1274.26;10;0.43;parked
2512;3347.79;1262.09;3360.01;1225.77;3341.27;1219.47;3329.05;1255.79;9;0.41;parked
2520;3413.55;1287.9;3455.15;1280.53;3451.76;1261.4;3410.16;1268.77;10;0.35;parked
