vehicle_id; veh_bb_x1; veh_bb_y1; veh_bb_x2; veh_bb_y2; veh_bb_x3; veh_bb_y3; veh_bb_x4; veh_bb_y4; det_class; conf_score; state
    13;    1989.77;     761.18;    2002.15;     760.98;    2001.73;     735.07;    1989.35;     735.27;       10;    0.83;   stop
     4;    3036.18;    1412.95;    3046.99;    1387.79;    3035.07;    1382.67;    3024.26;    1407.83;       10;    0.83;   stop
     1;    2965.45;    1155.86;    2967.87;    1144.10;    2943.80;    1139.14;    2941.38;    1150.90;       10;    0.83;   stop
    15;    2996.75;    1283.05;    2999.26;    1269.68;    2968.75;    1263.95;    2966.24;    1277.32;       10;    0.83;   stop
     8;    3641.99;    1426.87;    3646.39;    1412.27;    3612.38;    1402.04;    3607.99;    1416.64;       10;    0.83;   stop
    68;    1974.96;     358.94;    1975.49;     330.93;    1962.54;     330.68;    1962.01;     358.70;       10;    0.82;   stop
  4248;    1157.94;    1150.45;    1185.83;    1150.43;    1185.81;    1136.11;    1157.92;    1136.13;       10;    0.82;   move
   150;    1998.22;    1301.07;    1998.24;    1276.32;    1986.15;    1276.31;    1986.13;    1301.06;       10;    0.82;   stop
   469;    2137.84;    1107.93;    2138.88;    1094.72;    2111.47;    1092.57;    2110.43;    1105.78;       10;    0.82;   stop
   271;    2464.93;    1181.95;    2465.28;    1170.02;    2440.82;    1169.30;    2440.47;    1181.23;       10;    0.82;   move
  3681;    3394.56;    1295.90;    3398.74;    1279.75;    3364.82;    1270.97;    3360.64;    1287.13;       10;    0.82;   stop
    36;    1325.25;    1071.29;    1352.44;    1070.88;    1352.25;    1058.33;    1325.06;    1058.74;       10;    0.82;   stop
    55;     902.67;    1170.50;     927.73;    1169.91;     927.43;    1157.13;     902.37;    1157.71;       10;    0.82;   stop
   208;    2002.94;    1161.98;    2009.05;    1151.63;    1987.06;    1138.64;    1980.95;    1149.00;       10;    0.82;   move
    24;    1414.63;    1072.64;    1415.01;    1060.05;    1387.74;    1059.23;    1387.36;    1071.83;       10;    0.82;   stop
  1208;    1931.07;    1089.09;    1942.11;    1084.47;    1932.18;    1060.78;    1921.14;    1065.41;       10;    0.82;   move
  2244;    2513.94;    1118.87;    2514.73;    1107.00;    2488.56;    1105.25;    2487.77;    1117.13;       10;    0.82;   stop
    76;    1968.65;     481.15;    1981.97;     480.89;    1981.42;     452.60;    1968.09;     452.86;       10;    0.81;   stop
    43;    1033.42;    1064.43;    1033.56;    1053.14;    1007.89;    1052.82;    1007.76;    1064.11;       10;    0.81;   stop
  2878;    1761.97;    1169.73;    1762.39;    1156.58;    1733.40;    1155.65;    1732.98;    1168.79;       10;    0.81;   stop
    82;    1975.25;     109.53;    1988.00;     109.41;    1987.75;      82.29;    1975.00;      82.40;       10;    0.81;   stop
   115;    1978.52;     435.26;    1991.11;     435.05;    1990.67;     408.49;    1978.08;     408.70;       10;    0.81;   stop
   212;    2946.46;    1272.37;    2948.47;    1259.64;    2922.29;    1255.50;    2920.28;    1268.24;       10;    0.81;   stop
    16;    2483.36;    1542.03;    2484.48;    1518.52;    2473.02;    1517.97;    2471.90;    1541.48;       10;    0.81;   stop
    64;    1861.23;     644.72;    1861.46;     622.15;    1849.77;     622.03;    1849.54;     644.60;       10;    0.81;   stop
     9;     178.37;    1058.43;     200.66;    1058.34;     200.62;    1047.20;     178.32;    1047.29;       10;    0.81;   stop
  1317;    2168.99;    1127.55;    2169.57;    1114.74;    2141.07;    1113.45;    2140.49;    1126.26;       10;    0.81;   stop
  1512;    2205.88;    1128.38;    2206.24;    1115.64;    2178.99;    1114.87;    2178.63;    1127.61;       10;    0.81;   stop
    12;    2952.62;    1672.66;    2962.69;    1645.15;    2949.88;    1640.46;    2939.81;    1667.98;       10;    0.81;   stop
   709;    1971.79;    1064.10;    1998.54;    1045.92;    1990.46;    1034.03;    1963.71;    1052.20;       10;    0.81;   move
    84;     974.45;    1064.81;    1000.35;    1064.50;    1000.21;    1052.44;     974.30;    1052.75;       10;    0.81;   stop
    10;    1795.31;    1144.77;    1795.36;    1131.20;    1769.82;    1131.10;    1769.77;    1144.67;       10;    0.81;   stop
    45;    1849.32;     181.43;    1849.71;     151.76;    1835.05;     151.57;    1834.66;     181.24;       10;    0.81;   stop
   129;     891.95;    1169.32;     891.97;    1157.22;     865.58;    1157.18;     865.56;    1169.28;       10;    0.81;   stop
  4354;    1112.49;    1154.42;    1112.64;    1142.02;    1086.89;    1141.71;    1086.74;    1154.10;       10;    0.81;   move
    47;    1203.96;    1182.59;    1203.97;    1169.81;    1178.79;    1169.79;    1178.78;    1182.57;       10;    0.81;   stop
    22;    1533.52;    1189.03;    1533.97;    1176.68;    1507.35;    1175.72;    1506.91;    1188.07;       10;    0.81;   stop
   137;    1730.51;    1081.03;    1731.23;    1068.05;    1704.94;    1066.59;    1704.22;    1079.58;       10;    0.81;   stop
  2052;    1798.23;    1176.26;    1799.01;    1163.07;    1772.29;    1161.49;    1771.51;    1174.68;       10;    0.81;   stop
   192;    3031.27;    1517.29;    3043.01;    1492.06;    3030.98;    1486.46;    3019.24;    1511.69;       10;    0.81;   stop
    62;    3024.01;    1444.50;    3035.41;    1418.25;    3023.33;    1413.00;    3011.93;    1439.25;       10;    0.81;   stop
   100;    1989.71;     898.28;    2002.94;     896.61;    1999.54;     869.65;    1986.31;     871.32;       10;    0.81;   stop
   231;    1575.74;    1109.17;    1576.21;    1095.71;    1547.26;    1094.71;    1546.79;    1108.17;       10;    0.81;   move
   126;    2139.56;    1186.74;    2139.64;    1172.57;    2110.69;    1172.39;    2110.61;    1186.56;       10;    0.81;   move
  1137;    2127.61;    1123.82;    2128.49;    1111.16;    2102.02;    1109.31;    2101.13;    1121.97;       10;    0.81;   stop
   284;    2301.89;    1191.40;    2302.23;    1177.50;    2270.86;    1176.73;    2270.52;    1190.63;       10;    0.81;   move
    49;    2746.71;    1234.91;    2748.18;    1222.81;    2723.79;    1219.84;    2722.32;    1231.94;       10;    0.81;   stop
    99;    2828.64;    1901.57;    2854.17;    1883.17;    2845.34;    1870.93;    2819.82;    1889.33;       10;    0.81;   stop
   216;    1899.63;     987.98;    1912.55;     987.66;    1911.87;     960.52;    1898.95;     960.84;       10;    0.80;   move
    26;    2732.84;    1118.54;    2733.51;    1104.71;    2705.03;    1103.33;    2704.36;    1117.17;       10;    0.80;   stop
   468;    2957.84;    1241.34;    2960.19;    1228.25;    2932.94;    1223.34;    2930.59;    1236.44;       10;    0.80;   move
    11;    3015.74;    1686.27;    3026.87;    1661.42;    3015.01;    1656.11;    3003.88;    1680.96;       10;    0.80;   stop
    39;    3064.04;    1445.56;    3075.71;    1419.78;    3062.52;    1413.81;    3050.86;    1439.60;       10;    0.80;   stop
   134;     940.98;    1068.63;     942.74;    1055.97;     914.15;    1051.99;     912.39;    1064.66;       10;    0.80;   stop
  2943;    1723.19;    1164.28;    1723.72;    1152.03;    1699.06;    1150.97;    1698.53;    1163.22;       10;    0.80;   stop
   345;    1973.68;    1531.18;    1973.84;    1504.15;    1961.57;    1504.07;    1961.41;    1531.10;       10;    0.80;   move
    56;    3055.13;    1368.51;    3064.91;    1341.80;    3052.12;    1337.12;    3042.34;    1363.82;       10;    0.80;   stop
    85;    1063.02;    1064.44;    1063.25;    1053.28;    1040.73;    1052.81;    1040.50;    1063.97;       10;    0.80;   stop
  4911;    1453.96;    1108.59;    1454.37;    1094.97;    1427.17;    1094.16;    1426.76;    1107.78;       10;    0.80;   move
   133;    2131.95;    1346.23;    2157.69;    1343.90;    2156.55;    1331.27;    2130.81;    1333.60;       10;    0.80;   stop
  1065;    2318.85;    1110.25;    2319.16;    1097.65;    2293.28;    1097.00;    2292.96;    1109.60;       10;    0.80;   stop
   189;    2540.14;    1217.45;    2540.33;    1205.06;    2515.23;    1204.68;    2515.04;    1217.06;       10;    0.80;   stop
    69;     747.97;    1224.29;     748.47;    1210.51;     719.22;    1209.46;     718.72;    1223.24;       10;    0.80;   stop
    79;    2104.67;    1104.60;    2105.45;    1090.69;    2078.08;    1089.15;    2077.30;    1103.06;       10;    0.80;   stop
   200;    1384.91;    1189.87;    1385.35;    1172.60;    1342.09;    1171.50;    1341.65;    1188.78;        9;    0.80;   stop
   919;    2282.75;    1111.49;    2283.46;    1098.34;    2256.25;    1096.88;    2255.54;    1110.03;       10;    0.80;   stop
  2602;    2570.48;    1120.32;    2571.84;    1107.80;    2545.65;    1104.93;    2544.28;    1117.45;       10;    0.80;   stop
  3170;    2388.55;    1131.26;    2389.29;    1118.11;    2360.83;    1116.49;    2360.08;    1129.64;       10;    0.80;   stop
   310;    2381.10;    1179.88;    2381.38;    1167.45;    2355.90;    1166.87;    2355.62;    1179.30;       10;    0.80;   move
  4401;    2711.63;    1198.45;    2712.54;    1185.16;    2683.50;    1183.17;    2682.59;    1196.47;       10;    0.80;   move
   567;    3314.24;    1271.50;    3317.55;    1258.40;    3289.51;    1251.31;    3286.20;    1264.41;       10;    0.80;   stop
   161;    1987.53;    1847.21;    1993.91;    1817.32;    1981.47;    1814.66;    1975.09;    1844.56;       10;    0.80;   stop
  5179;    1871.82;     149.41;    1886.99;     148.83;    1885.68;     114.40;    1870.51;     114.98;       10;    0.80;   move
   201;    2478.05;    1215.02;    2478.58;    1202.60;    2452.45;    1201.48;    2451.92;    1213.90;       10;    0.80;   stop
   194;    1996.93;    1461.53;    1997.14;    1427.57;    1982.38;    1427.47;    1982.17;    1461.43;       10;    0.80;   stop
    59;    2717.70;    1232.49;    2719.20;    1218.83;    2687.34;    1215.32;    2685.84;    1228.98;       10;    0.80;   stop
  4938;    1960.76;    1866.32;    1969.31;    1835.06;    1956.49;    1831.55;    1947.94;    1862.82;       10;    0.80;   move
    42;     744.71;    1058.87;     744.86;    1047.08;     720.61;    1046.76;     720.45;    1058.55;       10;    0.80;   stop
  1931;    1906.06;     930.65;    1906.16;     903.72;    1892.41;     903.67;    1892.31;     930.59;       10;    0.80;   move
  1500;    2471.98;    1117.03;    2472.05;    1102.74;    2440.52;    1102.60;    2440.45;    1116.88;       10;    0.80;   stop
