vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
57;1790.22;233.99;1804.9;233.02;1803.03;204.76;1788.35;205.73;10;0.79;parked
142;1824.54;684.67;1838.12;683.27;1834.99;652.95;1821.41;654.35;10;0.77;parked
203;1828.46;824.56;1845.99;822.01;1839.04;774.07;1821.51;776.61;9;0.8;parked
212;1771.86;190.82;1786.25;189.32;1783.33;161.31;1768.93;162.81;10;0.78;parked
220;1768.23;146.01;1781.6;145.21;1779.93;117.24;1766.56;118.04;10;0.76;parked
222;1812.2;711.64;1827.25;709.34;1822.58;678.86;1807.53;681.16;10;0.79;parked
233;1789.83;468.47;1805.43;467.07;1802.34;432.65;1786.74;434.05;10;0.75;parked
238;1777.45;93.0;1790.69;92.67;1789.97;63.94;1776.74;64.27;10;0.75;parked
293;1807.57;677.24;1821.94;675.95;1819.34;646.89;1804.96;648.17;10;0.75;parked
301;1786.92;224.12;1787.35;194.59;1772.58;194.38;1772.15;223.91;10;0.73;parked
338;1800.02;352.81;1814.52;351.82;1812.35;319.94;1797.86;320.93;10;0.75;parked
350;1777.16;266.96;1791.63;265.58;1788.58;233.66;1774.11;235.04;10;0.75;parked
438;1793.77;267.21;1808.25;265.66;1805.15;236.79;1790.67;238.34;10;0.71;parked
442;1811.91;556.36;1826.43;555.97;1825.68;528.14;1811.17;528.53;10;0.69;parked
592;1824.62;887.15;1840.95;885.72;1838.0;852.1;1821.68;853.53;10;0.54;parked
5451;1785.02;113.63;1785.34;94.7;1773.4;94.5;1773.08;113.43;10;0.64;parked
10722;1779.13;60.46;1795.52;59.06;1792.75;26.73;1776.36;28.13;10;0.78;parked
11930;1762.97;60.91;1776.07;60.31;1774.92;35.27;1761.82;35.87;10;0.49;parked
12052;1761.59;95.17;1773.35;94.92;1772.79;67.96;1761.02;68.21;10;0.44;parked
12449;1780.99;288.95;1799.73;273.43;1791.91;263.99;1773.18;279.51;10;0.35;parked
12470;1824.96;886.6;1841.12;885.22;1838.23;851.52;1822.07;852.91;9;0.39;parked
