vehicle_id;veh_bb_x1;veh_bb_y1;veh_bb_x2;veh_bb_y2;veh_bb_x3;veh_bb_y3;veh_bb_x4;veh_bb_y4;det_class;conf_score;state
57;1789.86;234.83;1803.34;234.37;1802.26;202.8;1788.79;203.26;10;0.78;parked
84;1809.31;506.2;1824.15;504.78;1821.07;472.55;1806.23;473.97;10;0.78;parked
142;1824.27;684.94;1838.36;683.51;1835.35;653.81;1821.26;655.24;10;0.78;parked
203;1827.49;822.74;1844.45;820.78;1838.88;772.51;1821.93;774.47;9;0.79;parked
212;1771.05;190.68;1785.53;189.52;1783.29;161.45;1768.82;162.6;10;0.78;parked
220;1766.92;145.94;1780.63;145.55;1779.83;117.31;1766.12;117.7;10;0.77;parked
222;1811.77;711.82;1827.24;709.48;1822.59;678.68;1807.12;681.02;10;0.78;parked
233;1790.27;470.4;1806.43;468.68;1802.75;434.1;1786.59;435.82;10;0.74;parked
238;1776.77;92.12;1790.55;91.58;1789.48;64.25;1775.7;64.79;10;0.75;parked
293;1807.31;677.65;1822.05;676.31;1819.45;647.6;1804.71;648.94;10;0.74;parked
301;1772.59;225.29;1787.45;225.02;1786.91;194.9;1772.05;195.16;10;0.77;parked
338;1799.69;352.62;1814.24;351.42;1811.56;319.01;1797.01;320.21;10;0.75;parked
350;1776.73;267.18;1791.97;265.71;1788.86;233.45;1773.62;234.92;10;0.75;parked
360;1761.72;61.01;1776.44;60.47;1775.28;29.55;1760.56;30.1;10;0.73;parked
438;1793.79;267.29;1808.6;265.58;1805.28;236.71;1790.46;238.42;10;0.72;parked
442;1811.34;556.89;1826.02;556.0;1824.29;527.61;1809.6;528.5;10;0.65;parked
498;1761.33;95.5;1773.11;95.29;1772.62;67.63;1760.84;67.83;10;0.5;parked
592;1825.01;887.2;1840.42;885.93;1837.62;852.05;1822.2;853.32;9;0.46;parked
5451;1785.31;114.69;1785.5;95.81;1772.69;95.68;1772.5;114.56;10;0.54;parked
7869;1798.89;238.49;1814.19;217.86;1798.05;205.14;1782.76;225.77;10;0.5883;parked
8089;1824.59;886.9;1840.22;885.6;1837.47;852.35;1821.84;853.65;10;0.43;parked
